solute,dG_es_MD,dG_cav_MD,dG_disp_MD,dG_np_MD,dG_tot_MD,dG_tot_expt,dG_es_SLIC,M_w,SASA_VdW,SESA_VdW,SESV_VdW,VdWA_VdW,VdWV_VdW,SASA_Mob,SESA_Mob,SESV_Mob,VdWA_Mob,VdWV_Mob,SASA_Bondii,SESA_Bondii,SESV_Bondii,VdWA_Bondii,VdWV_Bondii,SASAB,SASVB,SASAM,SASVM,SASAV,SASVV,totAB,totAM,totVM,totVB
4_methylacetophenone,-6.7,16.91,-15.03,1.88,-4.82,-4.7,-7.88,134,332.7,163.3,139.3,163.2,142.2,351.4,176.9,160.6,185.5,148.8,351.8,179.7,174.8,183.9,170.4,351.8,540.6,351.4,483.8,332.7,478.5,701.931,609.512,323.727,414.93
4_methylbenzaldehyde,-6.43,15.33,-13.8,1.53,-4.9,-4.27,-7.85,120,306,146.5,121.8,146.4,124.3,320.8,157.3,138.9,164,129.1,325.9,162.7,154.7,165.9,151.2,325.9,490.4,320.8,435.1,306,430.7,609.192,521.353,278.02,363.02
4_methylpentan_2_ol,-5.1,15.03,-12.68,2.35,-2.75,-3.73,-4.34,102,300,144,125.7,143.9,128.4,317.7,156.8,147.9,170,134.1,314.3,155.8,149.3,161.3,143.7,314.3,472,317.7,434.4,300,428.6,636.084,566.507,289.965,351.22
4_methylpentan_2_one,-5.28,14.46,-12.14,2.32,-2.96,-3.05,-5.65,100,300.4,142.9,121.9,142.7,124.5,319.5,157.1,145.4,170.2,131,316.1,155.8,146.9,161.7,140.7,316.1,471.1,319.5,430.2,300.4,424.1,593.61,543.893,279.589,332.81
4_methylpyridine,-4.73,13.06,-11.74,1.32,-3.41,-4.93,-5.61,93,265.3,120.7,96.4,120.7,98.6,280.7,131.6,112.4,136,104.9,283.6,135.6,124.1,137.5,122,283.6,411.3,280.7,362.5,265.3,359.1,492.333,425.78,226.413,291.15
4_n_propylphenol,-6.96,17.47,-16.01,1.46,-5.5,-5.9,-8,136,347.7,172,148,171.9,150.6,363.2,184.1,169.5,196.2,154.8,365.7,187.5,181.5,192.8,175.9,365.7,562.6,363.2,509.6,347.7,503.1,744.405,635.182,336.125,433.34
4_nitroaniline,-9.03,16.64,-16.84,-0.2,-9.23,-10.27,-10.42,138,302.7,145,120.2,144.9,122.4,305,147.5,128.6,152.7,120.5,324.6,162.1,153,165.4,149.7,324.6,487.6,305,429.9,302.7,425.6,587.532,460.022,247.36,350.25
4_nitrophenol,-8.04,16.68,-16.86,-0.18,-8.22,-10.64,-9.09,139,295.9,140.7,116.6,140.7,118.7,301.6,145.2,126.1,150.4,118,318.1,157.9,148.5,160.8,145.6,318.1,475.6,301.6,418.3,295.9,414.3,561.387,448.481,242.782,336.69
4_tert_butylphenol,-7.21,18.92,-17.25,1.67,-5.54,-5.91,-8.99,150,355.1,179.7,165.5,179.5,168.2,370.2,191.7,188.3,205.7,172.6,372.8,195,200.3,202.7,193.2,372.8,591.6,370.2,538.2,355.1,531,837.144,720.939,380.231,485.26
acenaphthene,-4.89,19.39,-18.01,1.38,-3.51,-3.15,-5.32,154,343.3,172.8,152.9,172.7,156.2,362.7,187.4,176.3,195.9,163.5,361,188.5,191.5,191.5,187.6,361,569.7,362.7,511.9,343.3,506.4,815.55,694.57,375.552,494.15
acetaldehyde,-5.18,7.12,-5.33,1.79,-3.39,-3.5,-6.25,44,186.4,71.6,47.5,71.6,49,197.2,78.5,56.1,80,52.6,201.7,82.7,62.4,83.3,62,201.7,255.6,197.2,222.9,186.4,221.3,222.654,198.463,101.564,125.15
acetic_acid,-7.07,8.85,-7.73,1.12,-5.95,-6.69,-11.11,60,202.3,81.1,56.2,81.1,57.8,207,84.5,62.3,86.6,58.2,218.2,92.6,72.4,93.8,71.3,218.2,284.1,207,249.6,202.3,247.5,259.83,208.85,109.066,146.46
acetonitrile,-3.77,6.96,-4.86,2.1,-1.67,-3.88,-4.74,41,182.1,68.9,44.9,68.9,46.3,196.7,77.8,55.2,78.8,52.4,202,82.8,62.6,83.1,62.5,202,256,196.7,214.7,182.1,213.6,206.325,183.382,97.281,120.3
acetophenone,-6.67,15.4,-13.8,1.6,-5.07,-4.58,-7.96,120,302.8,144.8,121.5,144.8,123.9,318.7,156.2,138.7,162.4,129.3,322.2,160.9,153.9,163.9,150.9,322.2,485.8,318.7,431.4,302.8,426.9,609.192,522.878,279.026,363.02
alpha_methylstyrene,-3.53,15.43,-13.16,2.27,-1.26,-1.24,-3.86,118,315.6,153.2,130.6,153.2,133,334,166.4,150.5,173.6,140.2,334.6,169.3,164.7,172.8,161.1,334.6,511.1,334,455.3,315.6,450.5,664.755,577.53,306.989,393.62
aniline,-7,12.4,-11.32,1.08,-5.92,-5.49,-8.45,93,264.4,120.5,96.1,120.5,98,270.7,125.2,105.4,128.7,98.8,282.2,134.8,122.8,136.6,120.9,282.2,408.5,270.7,361.2,264.4,357.7,492.333,388.575,207.79,291.15
anisole,-3.98,13.96,-12.28,1.68,-2.3,-2.45,-5.23,108,287,133.7,109.2,133.7,111.3,300.4,143.1,123.2,147.6,115.3,305.3,149.1,138.8,150.9,136.8,305.3,450.6,300.4,399.6,287,395.7,558.927,475.79,250.919,329.51
anthracene,-5.97,21.01,-20.43,0.58,-5.39,-3.95,-6.73,178,376.2,194,174,193.9,177,394.4,207.7,196.4,215.9,184.2,398.3,213,220.1,216.8,215.7,398.3,641.3,394.4,570.6,376.2,564.5,916.08,768.504,418.484,561.17
azetidine,-5.09,8.52,-6.84,1.68,-3.41,-5.56,-5.48,57,216.3,89.8,65.8,89.8,67.8,222.5,94.6,74.2,97.5,68.7,229.6,100.2,82.5,101.1,81.4,229.6,307.3,222.5,276,216.3,273.1,341.538,284.262,144.729,190.62
benzaldehyde,-6.36,13.45,-12.08,1.37,-4.99,-4.02,-7.89,106,276.1,128,104,128,106,288.1,136.6,117.1,141,109.6,296.2,143.9,133.9,145.9,131.7,296.2,435.6,288.1,382.7,276.1,379.1,516.453,434.719,233.319,311.1
benzamide,-10.97,15.29,-14.51,0.78,-10.19,-11,-12.8,121,293,138.8,114.9,138.7,116.8,298.8,143.6,125,148.2,117.3,313.3,155.1,146.7,157.5,144.1,313.3,468.2,298.8,412.9,293,408.9,579.774,456.647,245.399,345.98
benzene,-2.7,11.3,-9.3,2,-0.7,-0.86,-3.25,78,243.6,107.4,83.8,109.8,88.5,258.2,117.3,96.9,120,91.1,260.8,121.1,108.3,121.9,107.3,260.8,369.2,258.2,324.7,243.6,321.8,429.012,368.172,196.716,256.28
benzonitrile,-4.13,13.46,-12.07,1.39,-2.74,-4.21,-5.4,103,277.1,126.8,101.3,126.8,103.3,292.9,137.7,116.6,141.3,109.5,300.6,145.4,134,147,132.2,300.6,439.8,292.9,379.9,277.1,376.3,500.124,419.638,229.036,306.26
benzotrifluoride,-3.02,13.89,-11.42,2.47,-0.55,-0.25,-3.92,146,296.1,140.5,117.4,140.4,119.6,313.1,152.7,136.3,159.4,126.8,320.1,159.4,152.3,162.8,148.9,320.1,481.6,313.1,419.4,296.1,415.1,569.568,481.971,261.685,344.53
benzyl_alcohol,-6.94,14.03,-12.5,1.53,-5.41,-6.62,-7.97,108,286.8,134.4,111.3,134.3,113.4,297.9,142.1,123.2,147.8,114.1,304.4,148.9,139.7,151.8,136.5,304.4,450.6,297.9,402.6,286.8,398.1,558.927,456.679,243.274,329.51
benzyl_bromide,-3.13,15.6,-13.61,1.99,-1.14,-2.38,-4.14,170.9,303.9,144.7,122.2,144.6,124.3,315.4,153.1,135.6,160.3,125.1,327.5,163.8,158.1,167.5,154.2,327.5,495.7,315.4,433,303.9,428.1,559.144,468.576,253.533,341.2
benzyl_chloride,-3.37,14.81,-13,1.81,-1.56,-1.93,-4.31,126.5,297.6,140.6,117.5,140.6,119.6,310.3,149.9,131.9,156.6,121.9,320.2,158.9,151.6,162.3,148,320.2,480.7,310.3,420.8,297.6,416.1,553.324,465.537,250.759,335.08
biphenyl,-4.97,19.39,-17.81,1.58,-3.39,-2.66,-5.18,154,366.2,183,159.7,182.9,162.6,385.8,197.4,182.1,206.7,167.9,384.8,200.8,201.7,205.2,196.5,384.8,604.9,385.8,542.6,366.2,535.5,815.55,691.062,373.172,494.15
bromobenzene,-2.2,13.76,-11.93,1.83,-0.37,-1.46,-2.94,156.9,274.4,126.5,102.9,126.5,104.9,285.6,134.4,114.8,138.6,107.5,299,145.5,136.3,147.5,134.2,299,441.2,285.6,379.2,274.4,375.9,466.405,388.931,213.471,289.29
bromoethane,-1.01,9.29,-7.35,1.94,0.93,-0.74,-1.55,108.9,214,88.4,64.1,88.4,66,223.7,94.9,73.4,98.2,67.8,234,103,85.6,104.4,84.2,234,315.5,223.7,271.3,214,269,265.345,232.32,121.778,155.25
bromomethane,-0.89,7.48,-5.5,1.98,1.09,-0.82,-1.46,94.9,180.8,68.9,46.3,68.9,47.5,185.2,71.6,50.3,72.7,47.4,202.3,83.6,64.9,84.1,64.5,202.3,259,185.2,215.4,180.8,214.2,172.606,143.507,75.65,103.33
bromotrifluoromethane,-0.38,8.89,-6.48,2.41,2.03,1.79,-0.69,148.9,208.3,85.4,61.8,85.4,63.2,217.9,91.9,71.2,94.5,66.9,237.4,105.3,88.2,107,86.7,237.4,322.1,217.9,262.7,208.3,260.4,220.423,179.84,101.984,139.67
but_1_ene,-0.37,9.37,-6.52,2.85,2.48,1.38,-0.68,56,234.9,100.6,75.1,100.6,77.2,252.1,112.4,91.6,118.3,83.6,249.5,112.2,94.3,114.2,92.3,249.5,341.6,252.1,306,234.9,302.7,370.956,340.397,174.639,207.66
but_1_yne,-0.86,9.39,-6.6,2.79,1.93,-0.16,-1.36,54,228.5,95.3,68.1,95.3,70,244.8,106.1,82.4,109.2,76.6,245.7,109,89.5,110.1,88.3,245.7,331.8,244.8,290.4,228.5,287.6,328.482,295.115,154.379,189.26
buta_13_diene,-0.96,8.78,-5.89,2.89,1.93,0.61,-1.56,54,224.1,94,67.8,94,69.5,237.8,103.2,79.8,106.1,74.5,242.4,107.7,88.9,109,87.6,242.4,328,237.8,285.3,224.1,283.1,328.482,290.73,151.404,189.26
butan_1_ol,-5.12,11.84,-9.86,1.98,-3.14,-4.72,-5.98,74,259.4,116.2,90.6,116.1,92.6,271.4,125.1,105.5,132.6,95.7,273.3,127.1,109.4,130,106.2,273.3,383.7,271.4,350.5,259.4,345.7,450.606,391.937,199.731,247.38
butan_2_ol,-5.2,11.54,-9.46,2.08,-3.12,-4.62,-5.27,74,254.5,114.1,90.5,114,92.6,269.4,124.5,106.5,132.4,96.6,268.1,124.8,109.3,128.1,106,268.1,378.3,269.4,345.4,254.5,340.8,450.606,394.993,201.753,247.38
butanenitrile,-3.57,10.96,-8.8,2.16,-1.41,-3.64,-4.36,69,247.9,107.9,81.1,107.8,83.1,266.2,120.6,99.2,126,91.3,267.2,122.6,104.3,124.6,102.1,267.2,371,266.2,326.5,247.9,322.7,391.803,354.896,185.493,224.13
butanoic_acid,-6.92,12.27,-10.81,1.46,-5.46,-6.35,-10.58,88,265,119,92.7,119,94.9,273.3,126,106.5,133.2,97.1,280.7,131.4,114.3,134.5,110.9,280.7,396.6,273.3,358.7,265,353.9,445.308,380.364,197.278,250.29
butanone,-5.05,11.23,-9.15,2.08,-2.97,-3.71,-6.03,72,248.9,109.5,83.9,109.4,86.1,263.4,120,100.3,126.6,91.5,263.9,121.4,104.3,123.9,101.6,263.9,367.8,263.4,331.5,248.9,327.4,408.132,369.977,189.776,228.98
butyraldehyde,-5.07,11.12,-9.06,2.06,-3.01,-3.18,-6.03,72,248.9,109.5,83.9,109.4,86.1,263.4,120,100.3,126.6,91.5,263.9,121.4,104.3,123.9,101.6,263.9,367.8,263.4,331.5,248.9,327.4,408.132,369.977,189.776,228.98
chlorobenzene,-2.13,12.78,-11.25,1.53,-0.6,-1.12,-2.85,112.5,267.5,122.2,98.4,122.1,100.3,279.9,130.9,111.2,134.9,104.2,290.9,140.3,129.9,142,128,290.9,425.5,279.9,367,267.5,363.4,460.585,385.892,210.697,283.16
chlorodifluoromethane,-2.32,7.5,-5.22,2.28,-0.04,-0.5,-2.75,86.5,192.4,75.6,52.1,75.6,53.4,199.7,80.5,59.2,120.7,77.6,217.9,92.9,73.8,144.1,105.9,217.9,285.4,199.7,234.6,192.4,232.8,198.664,159.214,87.184,121.43
chloroethane,-1.26,8.32,-6.28,2.04,0.78,-0.63,-1.75,64.5,207.2,84.2,59.7,84.2,61.5,218.3,91.5,69.9,94.5,64.6,225.9,97.8,79.3,98.9,78,225.9,299.8,218.3,259,207.2,256.7,259.525,229.281,119.004,149.12
chloroethylene,-1.06,7.29,-5.01,2.28,1.22,-0.59,-1.54,62.5,195.3,77.1,53.1,77.1,54.5,204.1,82.8,60.6,84.2,57.2,217.7,92.7,74,93.5,73.3,217.7,285.4,204.1,238.2,195.3,236.8,217.051,184.201,98.807,130.72
chlorofluoromethane,-2.25,6.91,-4.88,2.03,-0.22,-0.77,-2.82,68.5,183.2,70.1,46.9,70.1,48.2,188.3,73.6,52.1,74.6,49.4,206,85.5,66.2,86.2,65.6,206,264.3,188.3,218.8,183.2,217.4,182.725,146.889,78.154,109.32
chloromethane,-1.14,6.2,-4.25,1.95,0.81,-0.55,-1.69,50.5,173.2,64.4,41.9,64.4,43,179,68,46.8,68.9,44.2,193.2,77.9,58.4,78.3,58.2,193.2,242.3,179,202.4,173.2,201.2,166.786,140.468,72.876,97.21
cis_12_dimethylcyclohexane,0.02,15.91,-13.88,2.03,2.05,1.58,-0.05,112,311.2,152.5,142.9,152.3,145.6,332.7,168.6,171.6,185.6,155.3,324.6,163.9,166.8,170.8,160,324.6,502.3,332.7,465.8,311.2,459.2,741.912,686.056,352.848,415.33
cyanobenzene,-4.14,13.34,-11.58,1.76,-2.38,-4.1,-5.4,103,277.1,126.8,101.3,126.8,103.3,292.9,137.7,116.6,141.3,109.5,300.6,145.4,134,147,132.2,300.6,439.8,292.9,379.9,277.1,376.3,500.124,419.638,229.036,306.26
cyclohepta_135_triene,-1.97,12.58,-10.46,2.12,0.15,-0.99,-3.06,92,270,124.5,101.3,124.5,103.5,286.9,136.3,118.3,141.4,110.1,285.8,137.6,127.9,139.3,126,285.8,418.1,286.9,373.7,270,369.8,521.751,453.929,240.822,308.19
cycloheptanol,-5.14,15.7,-14.71,0.99,-4.15,-5.48,-5.8,114,300.7,145.5,133,145.3,135.6,316.8,157.7,155.1,171.8,140.4,313.8,156.4,155.1,162.4,149.5,313.8,478.3,316.8,443.6,300.7,437.2,686.349,605.228,312.621,384.73
cyclohexane,0.01,13.07,-11.41,1.66,1.67,1.23,-0.05,84,269.1,123.8,105.1,123.7,108.5,289.4,138.6,129.8,150.5,117.3,280.4,133.7,125.1,137.4,121.2,280.4,408.7,289.4,378.6,269.1,373.4,556.434,514.542,264.636,311.5
cyclohexanol,-5.28,14.1,-13.08,1.02,-4.26,-5.46,-6.31,100,282.8,132.7,115.4,132.6,118.1,296.4,143.2,135,156,121.7,295.4,143.3,136,148,131,295.4,436.8,296.4,404.4,282.8,398.6,593.61,519.471,268.515,332.81
cyclohexanone,-5.14,14.08,-12.78,1.3,-3.84,-4.91,-5.95,98,274.9,127.3,107.9,127.2,110.5,292.1,140,128.7,150.5,117,288.5,138.8,130,142.4,126.1,288.5,422.9,292.1,387.4,274.9,381.9,551.136,496.857,258.139,314.4
cyclohexene,-0.53,12.31,-10.22,2.09,1.56,0.37,-0.82,82,263.2,119.7,98.4,119.6,100.7,282.3,133.4,119.1,141.6,108.7,275.5,130.3,119.5,132.6,116.9,275.5,397.4,282.3,363.4,263.2,358.7,513.96,465.752,241.996,293.09
cyclohexylamine,-5.08,14.44,-13.3,1.14,-3.94,-4.59,-4.4,99,285.4,134.8,119.2,134.6,122,296.6,143.7,137.1,156.1,124.1,297.4,145.2,140.5,150.2,135,297.4,443.8,296.6,411.4,285.4,405.7,619.755,531.012,273.093,346.37
cyclopentane,0.01,11.34,-9.82,1.52,1.53,1.2,-0.08,70,246.6,109.4,87.5,109.3,89.8,266.2,123.1,108.1,131,98.2,258.5,119,105.1,120.8,102.9,258.5,363.4,266.2,333.3,246.6,329.3,463.695,428.785,220.53,259.58
cyclopentanol,-5.27,13.06,-11.94,1.12,-4.15,-5.49,-6.11,86,260.1,118,97,117.9,99.3,272.1,127,112.9,135.6,102.7,272.8,128.3,116.2,131.2,112.8,272.8,390.8,272.1,358.4,260.1,354.1,500.871,433.714,224.409,280.89
cyclopentanone,-4.85,12.47,-11.33,1.14,-3.71,-4.7,-5.82,84,252.5,112.5,89.8,112.5,92.2,268.8,124,107.4,131.1,98,266.7,123.9,110.2,125.8,107.8,266.7,377.6,268.8,342.2,252.5,338.1,458.397,411.1,214.033,262.49
cyclopentene,-0.58,10.85,-8.89,1.96,1.38,0.56,-0.94,68,238.9,103.9,80,103.8,82,257.1,116.3,97.2,120.6,90,251.8,114.7,100,115.8,98.6,251.8,350.3,257.1,316.1,238.9,312.6,421.221,379.995,197.89,241.17
cyclopropane,-0.03,7.18,-4.51,2.67,2.64,0.75,-0.23,42,196.8,78.1,54.2,78.1,55.9,213.4,88.8,67.6,91.6,62.7,210.7,88.4,69.2,88.8,69,210.7,272.8,213.4,241.9,196.8,239.6,278.217,257.271,132.318,155.75
decan_1_ol,-5.16,23.03,-20.36,2.67,-2.49,-3.64,-6.44,158,450.1,231.8,201.2,231.6,204.2,467.5,248.6,237,271,212.3,466.7,246.6,235.9,255.5,225.6,466.7,728.6,467.5,680.2,450.1,668.1,1007.04,906.479,464.367,558.88
decan_2_one,-5.26,22.01,-18.73,3.28,-1.98,-2.34,-5.78,156,435.8,223.7,193.8,223.4,197.1,460.5,244.3,232,265.4,208.6,453.7,239.4,230.1,248.1,220.5,453.7,708.8,460.5,656.7,435.8,645.7,964.566,886.921,456.013,540.47
di_isopropyl_sulfide,-2.56,15.86,-13.2,2.66,0.1,-1.21,-2.95,118,318.9,154.9,136.1,154.8,139,340.5,170.6,161.2,183.9,146.3,335.3,169.3,167,175.4,160.7,335.3,513.8,340.5,466,318.9,459.8,657.538,598.011,308.136,372.11
di_n_butyl_ether,-2.65,19.29,-16.05,3.24,0.59,-0.83,-2.66,130,393.8,195.5,163.1,195.3,166.1,418.9,214.7,194.4,230.8,174.9,408.8,209.4,194.2,215.6,187,408.8,620.6,418.9,575.9,393.8,566.5,821.562,751.02,381.778,455.05
di_n_propyl_ether,-2.67,15.46,-12.58,2.88,0.21,-1.16,-2.69,102,331.3,157.3,126.2,157.2,129,353.8,173.6,150.5,184.7,136,345.2,169.9,152.1,174.1,147.5,345.2,506.7,353.8,467.2,331.3,460,636.084,579.506,293.566,351.22
di_n_propyl_sulfide,-2.15,16.4,-13.76,2.64,0.49,-1.28,-2.57,118,343.6,166.2,137.9,166.1,140.5,365.3,182.2,162.4,195.2,146.6,360.4,181.3,169.3,186.7,163.5,360.4,542.3,365.3,493.1,343.6,486.1,657.538,591.899,304.092,372.11
di_n_propylamine,-4.76,15.77,-13.27,2.5,-2.26,-3.65,-4.08,101,333.6,159.9,130.6,159.8,133.3,354.9,174.8,152.9,186.2,138.4,347.6,172.5,156.5,177.3,151.1,347.6,514.4,354.9,474.8,333.6,467.5,662.229,588.569,298.497,364.78
dibromomethane,-1.1,10.39,-8.42,1.97,0.87,-1.96,-1.51,173.8,214.7,89.1,65.7,89.1,67.1,214.9,89.3,67.4,91.2,63.6,243.4,109.1,93.1,110.4,91.8,243.4,333.9,214.9,273.2,214.7,271.4,209.999,160.755,90.332,136.34
dichloromethane,-1.6,8.47,-6.64,1.83,0.23,-1.31,-2.04,85,200,80.1,56.6,80.1,58,202.6,82,60.3,83.5,57,226.3,98.2,80.2,99.1,79.3,226.3,301.4,202.6,247.6,200,245.7,198.359,154.677,84.784,124.09
diethoxymethoxybenzene,-7.19,23.2,-20.45,2.75,-4.44,-5.23,-7.49,196,443.5,228.6,203,228.4,206.9,467.8,246.5,230.6,262.6,208.4,463.2,248.1,248.8,256,239.4,463.2,740.2,467.8,674.7,443.5,664.4,1004.235,867.534,451.187,579.8
diethyl_disulfide,-2.51,14.01,-11.57,2.44,-0.07,-1.64,-3.13,122,313.8,148.1,120.7,148,123.7,331.5,160.6,139.5,171.5,126.6,334.1,165.9,156.1,170.5,151.2,334.1,499.6,331.5,441.8,313.8,436.5,530.69,462.93,241.974,310.5
diethyl_ether,-3.02,11.56,-9.24,2.32,-0.7,-1.59,-3,74,268.1,118.9,89.2,118.8,91.8,286.5,131.4,106.3,137.1,97.1,281.1,130.3,110.3,132.5,107.8,281.1,392.2,286.5,357.5,268.1,352.7,450.606,407.992,205.354,247.38
diethyl_malonate,-8.27,19.57,-17.75,1.82,-6.45,-6,-11.95,160,391,191.4,156.8,191.4,160.4,412.8,206.8,179.5,218.2,163.5,408.5,208.7,193.5,213.9,187.7,408.5,619.4,412.8,565.2,391,556.4,755.403,660.045,340.246,430.26
diethyl_succinate,-10.32,21.22,-19.37,1.85,-8.47,-5.71,-11.1,174,423.5,210.7,175.3,210.6,179.6,446.5,227.5,202.1,242.2,182.8,441.7,228.9,214.9,235.4,207.8,441.7,678.1,446.5,621,423.5,611.2,848.142,745.802,384.352,482.18
diethyl_sulfide,-2.18,12.66,-10.27,2.39,0.21,-1.46,-2.69,90,281.1,128,100.5,128,103.3,298.6,140.3,118.3,148.1,107.3,296.8,141.9,127.5,145.2,123.8,296.8,428.3,298.6,384.3,281.1,379.7,472.06,420.385,215.88,268.28
diethylamine,-4.93,12.27,-10.06,2.21,-2.72,-4.07,-4.24,73,271.1,121.8,93.7,121.8,96.1,288.2,132.9,108.8,139,99.3,284.1,133.1,114.8,135.9,111.4,284.1,400.6,288.2,366.2,271.1,361.2,476.751,417.055,210.285,260.94
diiodomethane,-2.3,11.9,-10.34,1.56,-0.74,-2.49,-3.09,267.8,232.5,100.3,78.4,100.3,79.7,231.8,100,79.3,102.3,75,265.4,123.8,112.4,125.4,110.8,265.4,378.8,231.8,306.3,232.5,304.2,228.013,172.287,101.396,156.53
diisopropyl_ether,-3.01,14.73,-11.83,2.9,-0.11,-0.53,-2.39,102,311.5,149.8,128.5,149.7,131.5,333,165.8,154.2,180.6,137.6,326.4,162.4,154.2,169.2,146.8,326.4,490.2,333,450.2,311.5,443.4,636.084,585.618,297.61,351.22
diisopropylamine,-4.6,15.19,-12.56,2.63,-1.97,-3.22,-3.78,101,310.6,149.4,129.4,149.2,132.1,332.5,164.4,152.5,176.6,138.2,325.2,161.8,154.8,167.7,148.7,325.2,489.3,332.5,449.8,310.6,443.3,662.229,594.681,302.541,364.78
dimethoxymethane,-4.33,11.19,-9.55,1.64,-2.69,-2.93,-4.77,76,241.3,105.7,81.7,105.7,83.7,247.1,109.8,88.8,115.6,81.3,256.7,117.7,101.7,120.5,99.1,256.7,357.7,247.1,320.3,241.3,317.3,395.043,334.473,165.228,216.78
dimethyl_ether,-2.7,7.72,-5.87,1.85,-0.85,-1.91,-3.54,46,198.2,78.5,53.7,78.5,55.3,205.6,83.2,60.5,85,56.3,357.2,139.1,101.2,89.6,68,357.2,273.2,205.6,242,198.2,240.4,265.128,230.366,113.098,143.55
dimethyl_sulfate,-8.13,14.32,-14.04,0.28,-7.85,-5.1,-11.04,126,278.1,126.3,99.5,126.2,102,285,131.1,107.5,138.2,97.8,296.1,141,125.2,144.7,121.6,296.1,425.2,285,379.2,278.1,375.2,435.286,361.765,184.666,249.71
dimethyl_sulfide,-1.7,8.7,-6.74,1.96,0.26,-1.61,-2.42,62,214.7,88.9,64.7,88.9,66.4,222,93.8,72.1,96.8,66.6,233.6,103,85.8,104.4,84.6,233.6,315.6,222,272.3,214.7,270.1,286.582,242.759,123.624,164.45
dimethyl_sulfone,-11.21,11.82,-10.97,0.85,-10.36,-10.08,-12.89,94,238.6,104.4,80.4,104.3,82.1,244.5,108.3,87.1,113.1,79.9,255.6,117.1,101.6,119.6,99,255.6,356.3,244.5,316.4,238.6,313,360.934,301.461,153.53,207.08
dimethyl_sulfoxide,-9.68,10.17,-8.81,1.36,-8.32,-8.71,-10.39,78,226.9,96.7,72.6,96.7,74.3,233.4,101.1,79.6,104.7,73.5,244.9,110.3,94.1,112.2,92.3,244.9,336.7,233.4,294.7,226.9,291.8,323.758,272.11,138.577,185.77
dimethylamine,-4.72,8.11,-6.5,1.61,-3.11,-4.29,-5.55,45,204.1,82.3,57.4,82.3,59.1,208.3,85.1,62.7,87.1,58.5,217.5,92.4,72.8,93.5,71.7,217.5,283.7,208.3,252.9,204.1,250.8,291.273,239.429,118.029,157.11
E_12_dichloroethene,-0.87,9.66,-7.59,2.07,1.2,-0.78,-1.32,97,222.5,92.8,67.4,92.8,69,228.5,97.1,74.1,99.3,69.8,251.5,113.2,95.3,114.5,94,251.5,344.6,228.5,282.9,222.5,281,248.624,200.396,111.782,157.6
E_but_2_enal,-5.82,10.72,-8.56,2.16,-3.66,-4.22,-7.08,70,241.9,104.1,76.3,104.1,78.4,254.5,112.9,88.9,116.4,82.8,259.6,117.9,98.8,119.6,97.1,259.6,357.1,254.5,314.3,241.9,311.4,365.658,321.187,167.136,210.57
E_hept_2_ene,-0.43,15.09,-11.83,3.26,2.83,1.68,-0.71,98,333.8,159.4,129,159.2,131.7,357.2,176.9,156.6,188.4,142,348.4,172.8,157,177.2,151.7,348.4,515.6,357.2,472.8,333.8,465.8,649.173,598.545,307.552,363.41
E_hex_2_enal,-5.48,14.41,-12.15,2.26,-3.22,-3.68,-6.67,98,306,142.7,113.3,142.6,115.7,321.7,154.8,133.3,163.5,121.7,323.9,157.6,140.9,161.1,136.8,323.9,471.8,321.7,424.9,306,419.3,551.136,492.701,255.348,314.4
E_oct_2_enal,-5.37,18.24,-15.34,2.9,-2.47,-3.43,-6.55,126,369.1,181.1,150.2,180.9,153.1,387.4,196.1,177.3,209.9,160.6,388.1,197.3,183,202.9,176.7,388.1,586.6,387.4,534.4,369.1,526.5,736.614,664.215,343.56,418.24
ethanamide,-9.94,9.12,-7.8,1.32,-8.62,-9.71,-11.76,59,208.6,84.9,59.5,84.9,61.1,210.6,86.7,64.6,88.7,60.5,224.2,96.5,76.6,97.7,75.3,224.2,295.1,210.6,260,208.6,257.8,285.975,220.391,113.644,160.02
ethane,0,6.61,-4.03,2.58,2.58,1.83,-0.02,30,181.8,68.7,44.4,68.7,46.2,198.7,79.5,57.6,81.6,53.3,193.3,77.5,57.2,77.9,56.8,193.3,240.8,198.7,215,181.8,213.2,227.952,218.55,109.662,122.24
ethanethiol,-2.49,8.52,-6.43,2.09,-0.4,-1.14,-3.53,62,215.5,89.1,64.3,89.1,66.2,220.8,93.2,71.8,96.3,66.4,234.4,103.2,85.7,104.6,84.1,234.4,315.9,220.8,273.2,215.5,270.7,286.582,235.294,121.692,164.45
ethanol,-5.2,7.91,-6.16,1.75,-3.45,-5,-6.69,46,198.2,78.6,54,78.6,55.7,205.1,83.5,61.5,85.8,56.8,210.9,88.1,67.8,89.1,66.8,210.9,271.2,205.1,243.1,198.2,240.7,265.128,220.423,111.519,143.55
ethene,-0.3,5.26,-2.6,2.66,2.36,1.28,-0.7,28,168.4,61.5,38.9,61.5,40.1,180.2,68.7,47.1,69.5,44.4,184.2,72.4,52.7,72.6,52.7,184.2,226.4,180.2,193.7,168.4,192.8,185.478,168.006,85.832,103.83
ethyl_acetate,-5.14,12.58,-10.67,1.91,-3.23,-2.94,-6.3,88,271.8,121,91.9,121,94.3,289.2,132.7,107.6,138.4,98.6,287.2,134.2,115,136.7,112.5,287.2,404.2,289.2,364.2,271.8,359.4,445.308,396.419,202.901,250.29
